var_a,var_b,presence,consensus_mark
Z_gas,Z_star,1.0,o-o
r_mag,sfr,1.0,-->
bh_mass,veldisp,1.0,<--
sfr,u_mag,1.0,<--
stellar_mass,veldisp,1.0,-->
stellar_mass,u_mag,1.0,-->
size,stellar_mass,1.0,<--
r_mag,stellar_mass,1.0,<--
halo_mass,stellar_mass,1.0,o-o
gas_mass,stellar_mass,1.0,<-o
bh_mass,stellar_mass,1.0,<--
baryon_mass,stellar_mass,1.0,o-o
Z_star,stellar_mass,1.0,o-o
r_mag,u_mag,1.0,-->
r_mag,size,1.0,-->
halo_mass,veldisp,1.0,-->
Z_gas,baryon_mass,1.0,o-o
colour,u_mag,1.0,-->
colour,sfr,1.0,-->
colour,r_mag,1.0,-->
colour,gas_mass,1.0,o->
Z_gas,colour,1.0,o-o
baryon_mass,size,1.0,-->
baryon_mass,r_mag,1.0,-->
baryon_mass,halo_mass,1.0,o-o
baryon_mass,gas_mass,1.0,o->
baryon_mass,bh_mass,1.0,-->
Z_gas,veldisp,1.0,-->
Z_gas,stellar_mass,1.0,o-o
Z_gas,gas_mass,1.0,o->
size,veldisp,1.0,<--
